model_id,hard_candidate_count,contamination_excluded,contamination_eligible,contamination_indeterminate,phase_label
openai:gpt-4o-2024-05-13,163,0,163,0,S1.3.7_METADATA_CANDIDATE_UNIVERSE_NOT_CONFIRMATORY_ADMISSION
openai:gpt-4o-mini-2024-07-18,163,0,163,0,S1.3.7_METADATA_CANDIDATE_UNIVERSE_NOT_CONFIRMATORY_ADMISSION
anthropic:claude-3-5-sonnet-20240620,163,13,145,5,S1.3.7_METADATA_CANDIDATE_UNIVERSE_NOT_CONFIRMATORY_ADMISSION
anthropic:claude-3-5-haiku-20241022,163,27,132,4,S1.3.7_METADATA_CANDIDATE_UNIVERSE_NOT_CONFIRMATORY_ADMISSION
