month,frontier_performance_per_price_usd,index_2024_01,performance_column,price_column,price_basis,calibration_label
2025-11,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-12,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-01,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-02,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-03,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-04,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-05,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-06,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-07,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-08,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-09,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-10,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-11,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2026-12,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
