task_id,year,status,reason,admissible_model_count,admissible_models,minimum_successful_cost_usd,calibration_label
humaneval:134,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:134,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:134,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:62,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:62,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:62,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:117,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:117,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:117,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:87,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:87,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:87,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:37,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:37,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:37,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:35,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:35,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:35,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:66,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:66,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:66,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:89,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:89,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:89,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:53,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:53,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:53,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:52,2024,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:52,2025,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:52,2026,BLOCKED_CONTAMINATION_CURRENT_MODEL_REGISTRY,ALL_CANONICAL_MODELS_EXCLUDE_TASK_FOR_CONTAMINATION,0,,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
