benchmark,model_id,task_count,contamination_excluded,contamination_eligible,contamination_indeterminate,excluded_fraction,calibration_label
humaneval,openai:gpt-4o-2024-05-13,164,164,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval,openai:gpt-4o-mini-2024-07-18,164,164,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval,anthropic:claude-3-5-sonnet-20240620,164,164,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval,anthropic:claude-3-5-haiku-20241022,164,164,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
mbpp,openai:gpt-4o-2024-05-13,974,974,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
mbpp,openai:gpt-4o-mini-2024-07-18,974,974,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
mbpp,anthropic:claude-3-5-sonnet-20240620,974,974,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
mbpp,anthropic:claude-3-5-haiku-20241022,974,974,0,0,1.0,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
